Course Name,University,Aptitude Score,Family_Income,Parental_Education_Level,Previous Score,Extracurricular activity,Difficulty Level,Course rating
Evolution: A Course for Educators,American Museum of Natural History,62,Medium,High School,67,Yes,Beginner,4.7
Teach English Now! Capstone Project 1,Arizona State University,90,Low,High School,65,Yes,Advanced,4.8
Teach English Now! Capstone Project 1,Arizona State University,66,Medium,College,67,Yes,Advanced,4.8
Experimental Design Basics,Arizona State University,82,Medium,High School,67,Yes,Intermediate,4.8
Engaging ELLs and Their Families in the School and Community,Arizona State University,66,Medium,College,72,Yes,Advanced,4.6
"Response Surfaces, Mixtures, and Model Building",Arizona State University,85,Low,College,63,Yes,Intermediate,4.6
Learning How To Learn for Youth,Arizona State University,59,Medium,Postgraduate,68,Yes,Beginner,4.8
Teach English Now! Foundational Principles,Arizona State University,75,Medium,College,68,Yes,Beginner,4.9
Teach English Now! Foundational Principles,Arizona State University,56,Low,College,66,No,Beginner,4.9
"Random Models, Nested and Split-plot Designs",Arizona State University,56,Low,College,63,No,Intermediate,4.5
Teach English Now! Capstone Project 2,Arizona State University,83,Low,High School,66,No,Beginner,4.7
Teach English Now! Capstone Project 2,Arizona State University,57,Low,High School,69,Yes,Beginner,4.7
Business English: Final Project,Arizona State University,93,Medium,High School,74,No,Advanced,4.7
Factorial and Fractional Factorial Designs,Arizona State University,78,High,High School,68,Yes,Intermediate,4.8
"Teach English Now! Second Language Listening, Speaking, and Pronunciation",Arizona State University,96,Low,College,67,No,Advanced,4.9
"Teach English Now! Second Language Listening, Speaking, and Pronunciation",Arizona State University,80,Low,High School,62,Yes,Advanced,4.9
The Science of Health Care Delivery,Arizona State University,71,Low,High School,71,Yes,Beginner,4.7
ELL Success in the Content Classroom: Capstone Project,Arizona State University,90,High,Postgraduate,68,Yes,Advanced,4.6
Teach English Now! Teaching Language Online,Arizona State University,78,Low,Postgraduate,67,No,Intermediate,4.6
"Teach English Now! Second Language Reading, Writing, and Grammar",Arizona State University,79,Medium,Postgraduate,66,No,Beginner,4.9
"Teach English Now! Second Language Reading, Writing, and Grammar",Arizona State University,59,Medium,High School,72,Yes,Beginner,4.9
Business English: Marketing and Sales,Arizona State University,94,Low,High School,72,Yes,Advanced,4.7
Teach English Now! Theories of Second Language Acquisition,Arizona State University,90,Low,High School,66,Yes,Intermediate,4.9
Teach English Now! Theories of Second Language Acquisition,Arizona State University,78,Medium,High School,69,Yes,Intermediate,4.9
Teach English Now! Lesson Design and Assessment,Arizona State University,86,Low,High School,71,Yes,Beginner,4.9
Business English: Management and Leadership,Arizona State University,74,Low,High School,66,Yes,Advanced,4.8
Teach English Now! Lesson Design and Assessment,Arizona State University,63,Medium,High School,68,Yes,Beginner,4.9
Business English: Finance and Economics,Arizona State University,88,Low,College,75,Yes,Advanced,4.7
Teach English Now! Technology Enriched Teaching,Arizona State University,99,Medium,College,68,No,Beginner,4.8
Teach English Now! Technology Enriched Teaching,Arizona State University,54,Low,Postgraduate,67,Yes,Beginner,4.8
Data in Database,Arizona State University,64,Medium,College,61,Yes,Advanced,3.7
Blockchain Opportunities Beyond Crypto Assets,Association of International Certified Professional Accountants,77,High,High School,66,No,Advanced,Not Calibrated
Making the Case for Robotic Process Automation,Association of International Certified Professional Accountants,53,Medium,College,65,Yes,Advanced,4.2
"Understanding, Using, and Securing Crypto and Digital Assets",Association of International Certified Professional Accountants,62,Low,High School,70,Yes,Advanced,Not Calibrated
Introduction to Blockchain: Using and Securing Cryptocurrencies,Association of International Certified Professional Accountants,77,High,College,68,Yes,Advanced,4.5
Blockchain Evolution and Technology Concepts,Association of International Certified Professional Accountants,78,Low,High School,67,No,Beginner,Not Calibrated
Introduction to Blockchain: Evolution and Technology Concepts,Association of International Certified Professional Accountants,92,Medium,High School,68,No,Advanced,4.5
"Introduction to Blockchain: Benefits, Values and Opportunities",Association of International Certified Professional Accountants,59,High,High School,66,Yes,Intermediate,4.7
Agile with Atlassian Jira,Atlassian,90,High,High School,72,Yes,Beginner,4.6
Version Control with Git,Atlassian,64,Low,High School,68,Yes,Intermediate,4.7
"Introduction to CAD, CAM, and Practical CNC Machining",Autodesk,97,High,College,71,No,Beginner,4.8
Engineering Design Process with Autodesk Fusion 360,Autodesk,96,High,High School,61,Yes,Advanced,4.7
Autodesk Certified Professional: Inventor for Mechanical Design Exam Prep,Autodesk,74,Medium,Postgraduate,67,Yes,Intermediate,4.6
Manufacturing Process with Autodesk Fusion 360,Autodesk,95,Low,College,66,Yes,Advanced,4.5
Autodesk Certified Professional: Civil 3D for Infrastructure Design Exam Prep,Autodesk,56,Medium,High School,63,No,Intermediate,4.8
CAM and Design Manufacturing for Mechanical Engineers with Autodesk Fusion 360,Autodesk,84,High,College,68,Yes,Beginner,4.8
Modeling and Design for Mechanical Engineers with Autodesk Fusion 360,Autodesk,83,Low,College,64,Yes,Beginner,4.8
Generative Design for Part Consolidation,Autodesk,57,Medium,Postgraduate,65,Yes,Advanced,5
Generative Design for Performance and Weight Reduction,Autodesk,81,Low,High School,66,No,Intermediate,4.7
Simulation Analysis for Mechanical Engineers with Autodesk Fusion 360,Autodesk,96,Low,High School,68,Yes,Beginner,4.8
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,99,Low,College,70,Yes,Intermediate,4.7
Autodesk Fusion 360 Integrated CAD/CAM/CAE,Autodesk,78,Low,College,70,Yes,Beginner,4.7
Creating Toolpaths for a CNC Lathe,Autodesk,85,High,High School,65,No,Beginner,4.8
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,97,Medium,College,72,Yes,Intermediate,4.7
Generative Design for Industrial Applications,Autodesk,75,Low,High School,69,Yes,Advanced,4.8
3-Axis Machining with Autodesk Fusion 360,Autodesk,62,Medium,High School,66,No,Intermediate,4.9
Multi-Axis CNC Toolpaths,Autodesk,94,Medium,College,69,Yes,Beginner,4.9
Autodesk Certified Professional: Revit for Structural Design Exam Prep,Autodesk,91,Low,High School,69,Yes,Intermediate,4.7
Introduction to Mechanical Engineering Design and Manufacturing with Fusion 360,Autodesk,74,High,Postgraduate,69,Yes,Beginner,4.8
3D Model Creation with Autodesk Fusion 360,Autodesk,58,Low,Postgraduate,66,Yes,Intermediate,4.7
Intro to Digital Manufacturing with Autodesk Fusion 360,Autodesk,95,Low,Postgraduate,73,Yes,Beginner,4.6
Generative Design for Additive Manufacturing,Autodesk,66,Low,Postgraduate,67,Yes,Intermediate,4.8
RPA Lifecycle: Development and Testing,Automation Anywhere,81,Low,High School,66,Yes,Advanced,4.6
RPA Lifecycle: Deployment and Maintenance,Automation Anywhere,57,Low,Postgraduate,66,Yes,Advanced,4.6
Cognitive Solutions and RPA Analytics,Automation Anywhere,74,Low,College,68,No,Beginner,5
"RPA Lifecycle: Introduction, Discovery and Design",Automation Anywhere,64,Low,High School,68,Yes,Beginner,4.6
"Musicianship: Tensions, Harmonic Function, and Modal Interchange",Berklee College of Music,92,Low,High School,68,Yes,Advanced,4.8
Introduction to Ableton Live,Berklee College of Music,79,Low,Postgraduate,74,No,Advanced,4.8
Introduction to Ableton Live,Berklee College of Music,82,Medium,High School,62,No,Advanced,4.8
The Art of Music Production,Berklee College of Music,70,Low,High School,66,Yes,Advanced,4.8
The Art of Music Production,Berklee College of Music,73,Medium,College,70,No,Advanced,4.8
The Art of Music Production,Berklee College of Music,94,Low,College,69,No,Advanced,4.8
The Art of Music Production,Berklee College of Music,65,Low,College,65,Yes,Advanced,4.8
Building Your Career in Music: Developing A Brand and Funding Your Music,Berklee College of Music,53,High,High School,64,No,Conversant,4.3
Developing Your Musicianship: Final Project,Berklee College of Music,65,Medium,College,66,No,Advanced,4.8
Guitar Performance Techniques,Berklee College of Music,68,Medium,College,63,No,Intermediate,4.1
Songwriting: Writing the Lyrics,Berklee College of Music,96,Medium,High School,66,Yes,Intermediate,4.8
A tecnologia da produï¿½ï¿½o musical,Berklee College of Music,87,Medium,College,71,No,Advanced,4.8
Building Your Career in Music: Developing A Brand and Funding Your Music,Berklee College of Music,92,Medium,High School,66,No,Conversant,4.3
Songwriting: Writing the Lyrics,Berklee College of Music,75,Medium,High School,69,No,Intermediate,4.8
Guitar Chord Voicings: Playing Up The Neck,Berklee College of Music,67,High,Postgraduate,66,Yes,Intermediate,4.9
Guitar for Beginners,Berklee College of Music,52,Medium,High School,71,No,Intermediate,4.7
Guitar for Beginners,Berklee College of Music,60,Low,High School,66,Yes,Intermediate,4.7
Electronic Music Performance Techniques,Berklee College of Music,95,Low,Postgraduate,62,Yes,Beginner,4.1
Arranging for Songwriters,Berklee College of Music,79,Medium,College,75,Yes,Beginner,4.4
Teaching Popular Music in the Classroom,Berklee College of Music,99,Low,High School,68,No,Beginner,4.7
Singing Popular Music,Berklee College of Music,99,Low,High School,67,Yes,Beginner,4.2
Pro Tools Basics,Berklee College of Music,81,Medium,High School,61,No,Intermediate,4.6
The Art of Vocal Production,Berklee College of Music,61,Medium,High School,61,No,Intermediate,4.6
The Technology of Music Production,Berklee College of Music,91,Low,High School,65,Yes,Intermediate,4.7
The Technology of Music Production,Berklee College of Music,59,Low,High School,68,No,Intermediate,4.7
Pro Tools Basics,Berklee College of Music,68,Medium,High School,70,Yes,Intermediate,4.6
Pro Tools Basics,Berklee College of Music,57,Medium,High School,63,No,Intermediate,4.6
Music Production Capstone,Berklee College of Music,68,Medium,College,63,Yes,Intermediate,4.8
Jazz Improvisation,Berklee College of Music,65,Low,High School,74,Yes,Advanced,4.8
Guitar Scales and Chord Progressions,Berklee College of Music,52,High,College,61,Yes,Advanced,4.7
Music Business Foundations,Berklee College of Music,95,Medium,College,82,Yes,Beginner,4.8
Music for Wellness,Berklee College of Music,71,Medium,High School,70,No,Beginner,4.6
Music Business Foundations,Berklee College of Music,50,Medium,College,64,Yes,Beginner,4.8
Creativity And Entrepreneurship,Berklee College of Music,81,Low,High School,63,Yes,Beginner,4.5
Creating Sounds for Electronic Music,Berklee College of Music,88,Low,High School,68,No,Advanced,4.7
Copyright Law in the Music Business,Berklee College of Music,58,Medium,College,65,Yes,Intermediate,4.7
Copyright Law in the Music Business,Berklee College of Music,62,Low,College,64,Yes,Intermediate,4.7
Bridging the Gap between Strategy Design and Delivery,Brightline Initiative,95,Medium,High School,66,Yes,Beginner,4.8
World Design for Video Games,California Institute of the Arts,64,High,College,68,Yes,Advanced,4.3
Introduction to Game Design,California Institute of the Arts,87,Low,College,71,Yes,Advanced,4.7
Approaching Music Theory: Melodic Forms and Simple Harmony,California Institute of the Arts,95,Low,High School,69,No,Intermediate,4.6
Fundamentals of Graphic Design,California Institute of the Arts,99,Low,High School,72,Yes,Conversant,4.7
UX Design Fundamentals,California Institute of the Arts,88,Low,College,67,Yes,Beginner,4.7
Introduction to Typography,California Institute of the Arts,85,Low,College,63,Yes,Beginner,4.8
Ideas from the History of Graphic Design,California Institute of the Arts,79,Medium,High School,72,No,Intermediate,4.6
Game Design Document: Define the Art & Concepts,California Institute of the Arts,74,Low,High School,68,No,Advanced,4.6
Web Design: Strategy and Information Architecture,California Institute of the Arts,91,Medium,Postgraduate,70,Yes,Advanced,4.8
Sharpened Visions: A Poetry Workshop,California Institute of the Arts,56,Low,High School,64,No,Intermediate,4.7
Visual Elements of User Interface Design,California Institute of the Arts,59,Medium,High School,69,No,Beginner,4.5
Story and Narrative Development for Video Games,California Institute of the Arts,96,Medium,High School,69,No,Advanced,4.6
The Language of Design: Form and Meaning,California Institute of the Arts,84,Low,College,69,No,Beginner,4.6
Character Design for Video Games,California Institute of the Arts,71,High,College,72,No,Advanced,4.6
Introduction to Imagemaking,California Institute of the Arts,69,Low,High School,72,Yes,Intermediate,4.4
Web Design: Wireframes to Prototypes,California Institute of the Arts,54,Low,High School,62,Yes,Advanced,4.8
Brand New Brand,California Institute of the Arts,91,High,High School,68,No,Beginner,4.9
Getting started in cryo-EM,Caltech,67,High,High School,69,Yes,Not Calibrated,4.9
The Science of the Solar System,Caltech,95,Low,High School,68,Yes,Intermediate,4.8
The Evolving Universe,Caltech,75,Low,Postgraduate,64,No,Intermediate,4.6
Statistical Thermodynamics: Molecules to Machines,Carnegie Mellon University,95,Low,College,65,No,Advanced,3.6
Beyond Silicon Valley: Growing Entrepreneurship in Transitioning Economies,Case Western Reserve University,61,Low,High School,65,No,Advanced,4.4
Leading Positive Change through Appreciative Inquiry,Case Western Reserve University,65,Medium,Postgraduate,65,Yes,Beginner,4.8
Designing Your Personal Weight Loss Plan,Case Western Reserve University,57,Medium,High School,65,Yes,Intermediate,4
Women in Leadership: Inspiring Positive Change,Case Western Reserve University,84,Medium,Postgraduate,66,Yes,Conversant,4.7
Inspiring Leadership through Emotional Intelligence,Case Western Reserve University,63,Low,Postgraduate,70,No,Conversant,4.7
"Be a Leader, Develop a Leader",Case Western Reserve University,93,Medium,High School,68,No,Advanced,4.7
Becoming a Sports Agent,Case Western Reserve University,54,Medium,College,65,Yes,Advanced,4.7
"Conversations That Inspire: Coaching Learning, Leadership and Change",Case Western Reserve University,82,High,Postgraduate,71,No,Advanced,4.7
Introduction to International Criminal Law,Case Western Reserve University,73,Low,High School,69,No,Intermediate,4.8
Take the Lead on Healthcare Quality Improvement,Case Western Reserve University,52,Medium,High School,62,Yes,Advanced,4.2
Promote the Ethical Use of Data-Driven Technologies,CertNexus,67,Medium,High School,69,No,Advanced,5
Check Point Jump Start: Network Security,Check Point Software Technologies Ltd.,61,Medium,High School,65,No,Beginner,4.9
Check Point Jump Start: SMB Network Security,Check Point Software Technologies Ltd.,69,Medium,College,67,Yes,Intermediate,Not Calibrated
Foundations for Big Data Analysis with SQL,Cloudera,58,Medium,High School,62,No,Intermediate,4.8
Analyzing Big Data with SQL,Cloudera,69,Low,High School,61,Yes,Advanced,4.9
Poverty & Population: How Demographics Shape Policy,Columbia University,51,Low,College,64,No,Advanced,4.9
Construction Finance,Columbia University,53,Low,College,65,No,Beginner,4.7
Construction Project Management,Columbia University,86,High,Postgraduate,68,No,Beginner,4.8
Construction Cost Estimating and Cost Control,Columbia University,56,Medium,College,64,No,Beginner,4.7
Financial Engineering and Risk Management Part I,Columbia University,56,Low,High School,66,Yes,Intermediate,4.4
"Social Services for Families, Seniors and Those with Disabilities",Columbia University,63,Medium,College,61,No,Intermediate,4.8
US Social Services Compared,Columbia University,59,High,High School,68,Yes,Advanced,4.6
"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Administrative/IT Perspective)",Columbia University,66,High,Postgraduate,65,Yes,Beginner,4.7
The Age of Sustainable Development,Columbia University,67,Medium,Postgraduate,65,No,Not Calibrated,4.8
Economics of Money and Banking,Columbia University,81,Medium,High School,68,Yes,Intermediate,4.8
Causal Inference 2,Columbia University,62,High,High School,65,No,Intermediate,3.6
Construction Scheduling,Columbia University,60,Low,College,69,No,Beginner,4.7
Financial Engineering and Risk Management Part II,Columbia University,85,Low,High School,67,Yes,Advanced,4.7
Causal Inference,Columbia University,76,Medium,College,71,Yes,Intermediate,2.9
"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Clinical Perspective)",Columbia University,84,Medium,College,68,Yes,Beginner,4.6
MOS Transistors,Columbia University,84,Medium,Postgraduate,70,No,Advanced,4.6
"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Social/Peer Perspective)",Columbia University,70,Medium,High School,67,Yes,Beginner,4.5
"Health, Housing, and Educational Services",Columbia University,90,Low,High School,86,Yes,Intermediate,4.9
US Social Services: Where did they come from?,Columbia University,51,Low,High School,63,No,Intermediate,4.9
Foundations of Teaching for Learning: Introduction,Commonwealth Education Trust,71,Low,High School,68,Yes,Intermediate,4.5
Foundations of Teaching for Learning: Developing Relationships,Commonwealth Education Trust,69,Low,High School,64,No,Intermediate,4.8
Writing for Young Readers: Opening the Treasure Chest,Commonwealth Education Trust,81,Low,High School,72,No,Advanced,4.6
Foundations of Teaching for Learning Capstone: The Reflective Practitioner,Commonwealth Education Trust,78,Medium,Postgraduate,75,Yes,Not Calibrated,4
Foundations of Teaching for Learning: Being a Teacher,Commonwealth Education Trust,82,Low,High School,65,No,Beginner,4.6
Foundations of Teaching for Learning: Curriculum,Commonwealth Education Trust,72,Low,High School,67,Yes,Intermediate,4.5
Foundations of Teaching for Learning: Learners and Learning,Commonwealth Education Trust,91,Medium,High School,70,No,Intermediate,4.5
Foundations of Teaching for Learning: Planning for Teaching and Learning,Commonwealth Education Trust,89,Medium,High School,64,Yes,Intermediate,4.8
Foundations of Teaching for Learning: Being a Professional,Commonwealth Education Trust,83,Low,College,67,Yes,Intermediate,4.7
Foundations of Teaching for Learning: Introduction to Student Assessment,Commonwealth Education Trust,52,Low,College,68,Yes,Intermediate,4.7
Blockchain: Foundations and Use Cases,ConsenSys Academy,95,High,High School,69,Yes,Intermediate,4.6
Social Business Model and Planning for Social Innovation,Copenhagen Business School,66,High,High School,73,No,Advanced,4.6
Innovation Strategy: Developing Your Fintech strategy,Copenhagen Business School,93,Low,High School,75,Yes,Advanced,4.5
Digital Transformation of Financial Services - Capstone Project,Copenhagen Business School,67,Low,Postgraduate,72,No,Advanced,4.4
FinTech and the Transformation in Financial Services,Copenhagen Business School,62,Medium,High School,63,Yes,Intermediate,4.1
Identifying Social Entrepreneurship Opportunities,Copenhagen Business School,61,Medium,High School,68,Yes,Advanced,4.7
Strategic Management,Copenhagen Business School,71,Low,Postgraduate,63,No,Beginner,4.7
Sustainable Fashion,Copenhagen Business School,76,High,High School,72,No,Beginner,4.8
Sustainable Vikings: Sustainability & Corporate Social Responsibility in Scandinavia,Copenhagen Business School,94,High,Postgraduate,66,Yes,Intermediate,4.8
The Neuromarketing Toolbox,Copenhagen Business School,98,Medium,College,67,No,Beginner,4.8
Unleashing the Impact of your Social Enterprise,Copenhagen Business School,89,Medium,High School,99,Yes,Advanced,4.5
Strategy Implementation,Copenhagen Business School,87,Medium,Postgraduate,66,No,Intermediate,4.6
Strategy Formulation,Copenhagen Business School,52,Low,Postgraduate,64,Yes,Beginner,4.5
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,76,Medium,College,62,Yes,Beginner,4.7
Digital Competition in Financial Services,Copenhagen Business School,70,Medium,College,68,No,Intermediate,4.5
Strategic Management - Capstone Project,Copenhagen Business School,76,Low,High School,66,No,Advanced,4.6
Leadership in 21st Century Organizations,Copenhagen Business School,64,High,High School,70,Yes,Beginner,4.7
1E Test: How Computers Work,Coursera,89,Medium,High School,71,Yes,Advanced,Not Calibrated
Business Strategy: Business Model Canvas Analysis with Miro,Coursera Project Network,59,Medium,College,61,No,Beginner,4.8
Retrieve Data using Single-Table SQL Queries,Coursera Project Network,65,Medium,College,70,Yes,Beginner,4.6
Building Test Automation Framework using Selenium and TestNG,Coursera Project Network,89,Medium,Postgraduate,71,Yes,Beginner,4.7
Agile Projects: Developing Tasks with Taiga,Coursera Project Network,88,Medium,College,68,No,Beginner,4
Grab Data Fast with Vertical and Horizontal LOOKUP,Coursera Project Network,74,Low,Postgraduate,65,Yes,Beginner,4.5
How to Create Text Effects in GIMP,Coursera Project Network,89,Medium,College,66,No,Beginner,4.7
AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,Coursera Project Network,94,High,College,71,Yes,Advanced,5
Postman - Intro to APIs (without coding),Coursera Project Network,84,Low,High School,63,Yes,Beginner,4.4
"Real-time OCR and Text Detection with Tensorflow, OpenCV and Tesseract",Coursera Project Network,56,High,College,67,No,Beginner,3.7
Analyzing Market Attractiveness Using Creately,Coursera Project Network,72,Low,High School,68,Yes,Beginner,4.7
Change Leadership: Developing Force Field Analysis in Miro,Coursera Project Network,96,High,Postgraduate,70,No,Advanced,5
Python Tricks and Hacks for Productivity,Coursera Project Network,88,Low,Postgraduate,68,Yes,Advanced,4.1
Create an FPS Weapon in Unity (Part 1 - Revolver),Coursera Project Network,95,Low,College,65,No,Advanced,5
Mastering SQL Joins,Coursera Project Network,93,Low,College,70,No,Advanced,4
Create a Database with the Modeling Tool in MySQL Workbench,Coursera Project Network,94,Medium,High School,69,Yes,Intermediate,4.7
Build Random Forests in R with Azure ML Studio,Coursera Project Network,54,Medium,High School,64,No,Beginner,4.7
Control physics with C# in Unity,Coursera Project Network,75,Medium,High School,63,Yes,Beginner,4.8
Create Relational Database Tables Using SQLiteStudio,Coursera Project Network,92,High,College,71,Yes,Beginner,4.7
Product Design: Designing a modern table lamp using SketchUp,Coursera Project Network,73,Low,High School,66,Yes,Beginner,4.7
Build a Table Layout App in Android Studio,Coursera Project Network,59,High,Postgraduate,76,No,Beginner,4.5
Improving Math Engagement with Prodigy,Coursera Project Network,85,Medium,Postgraduate,79,Yes,Beginner,4.8
Exception Handling in Python,Coursera Project Network,80,High,High School,73,Yes,Beginner,4.7
Improving Classroom Management with Class Dojo,Coursera Project Network,81,High,High School,73,Yes,Beginner,4.9
Create a Virtual Classroom using Google Slides,Coursera Project Network,55,High,College,67,Yes,Intermediate,4.6
Implementing SOLID Principles in C# with .NET Core,Coursera Project Network,75,Low,High School,65,No,Intermediate,Not Calibrated
Wireshark for Basic Network Security Analysis,Coursera Project Network,89,High,High School,65,No,Beginner,4.4
Tracking Student Growth using Google Slides,Coursera Project Network,70,Low,Postgraduate,64,No,Beginner,5
Analyze Website Visitors with Google Analytics Segments,Coursera Project Network,82,Medium,Postgraduate,69,Yes,Beginner,4.8
Tell the Data Story with Survey Graphics in Google Slides,Coursera Project Network,51,Low,High School,67,Yes,Advanced,Not Calibrated
User Experience Responsive Hero in XD for Beginners,Coursera Project Network,74,Medium,Postgraduate,68,Yes,Beginner,4.2
Portfolio Optimization using Markowitz Model,Coursera Project Network,56,High,High School,69,Yes,Beginner,4.5
Complex Retrieval Queries in MySQL Workbench,Coursera Project Network,91,High,High School,72,Yes,Beginner,4.5
AWS Elastic Beanstalk:Deploy a Python(Flask) Web Application,Coursera Project Network,88,Low,High School,66,Yes,Beginner,5
Build a Twitter Clone Backend,Coursera Project Network,89,Medium,High School,74,Yes,Beginner,4.2
Create a Buy Signal using RSI in R with the Quantmod Package,Coursera Project Network,89,Medium,High School,69,Yes,Beginner,4.6
Statistical Data Visualization with Seaborn,Coursera Project Network,80,Medium,High School,69,Yes,Beginner,4.5
Hosting a Static Website (HTML/CSS/Javascript) in AWS S3,Coursera Project Network,64,Medium,High School,60,No,Advanced,4.5
Data Analysis Using Pyspark,Coursera Project Network,50,Medium,High School,68,No,Beginner,4.2
Introduction to TestNG and Integration with Selenium,Coursera Project Network,63,Low,High School,69,Yes,Beginner,4.6
Hierarchical Clustering: Customer Segmentation,Coursera Project Network,73,Medium,High School,63,Yes,Advanced,4.2
Deploy Models with TensorFlow Serving and Flask,Coursera Project Network,54,Medium,High School,65,No,Beginner,4.5
Create UI in Unity Part 3 - Settings Menu,Coursera Project Network,92,Medium,High School,69,Yes,Beginner,Not Calibrated
Create Informative Presentations with Google Slides,Coursera Project Network,98,Low,Postgraduate,67,No,Beginner,4.7
Game-Theoretic Solution Concept with Spread Sheets,Coursera Project Network,92,Medium,Postgraduate,65,Yes,Beginner,4.7
Microservices with Spring Boot,Coursera Project Network,84,Medium,College,65,Yes,Advanced,Not Calibrated
Marketing Design with Easil,Coursera Project Network,67,Medium,College,69,No,Beginner,4.8
Hiring and Onboarding Employees with ClickUp,Coursera Project Network,50,Medium,High School,68,Yes,Beginner,4.5
Introduction to Python,Coursera Project Network,72,Medium,High School,66,Yes,Beginner,4.5
Encryption And Decryption Using C++,Coursera Project Network,98,Low,College,66,Yes,Beginner,5
Serve Scikit-Learn Models for Deployment with BentoML,Coursera Project Network,59,Low,High School,70,No,Intermediate,Not Calibrated
Create Charts and Dashboard using Google Sheets,Coursera Project Network,55,Low,High School,63,No,Beginner,4.8
Use Commands and Create a Remote Git Repository,Coursera Project Network,85,High,College,68,Yes,Beginner,4.6
Command Line in Linux,Coursera Project Network,51,Medium,College,66,Yes,Beginner,4.5
Building Custom Regional Reports with Google Analytics,Coursera Project Network,77,Medium,Postgraduate,69,Yes,Beginner,4.6
Database Design and Diagramming in Dia,Coursera Project Network,84,Medium,College,65,Yes,Beginner,4.6
Game Theory with Python,Coursera Project Network,62,Medium,High School,67,Yes,Beginner,4.2
The Product Lifecycle: A Guide from start to finish,Coursera Project Network,68,Medium,Postgraduate,72,No,Beginner,4.6
TensorFlow for CNNs: Transfer Learning,Coursera Project Network,72,Medium,High School,66,Yes,Beginner,Not Calibrated
Calculating Descriptive Statistics in R,Coursera Project Network,98,Low,Postgraduate,66,Yes,Beginner,5
Creating Models using Smartpls,Coursera Project Network,57,Medium,High School,63,No,Beginner,4.9
Getting Started With Game Development Using PyGame,Coursera Project Network,79,Low,High School,72,Yes,Beginner,4.2
Introduction to Javascript: The Basics,Coursera Project Network,72,Low,High School,61,Yes,Beginner,4.2
Introduction to Cost Accounting,Coursera Project Network,93,Medium,College,67,Yes,Beginner,4.7
Classify Radio Signals from Space using Keras,Coursera Project Network,58,Medium,High School,67,Yes,Beginner,4.4
Getting Started with Power BI Desktop,Coursera Project Network,94,Medium,College,66,No,Conversant,4.7
